contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
PH261016C00820000,PH,2026-10-16,23,C,820.0,-15.02,964.96,137.4,145.0,141.2,0.0,5.4,0.3269,0.9759,0.0007,-0.0618,0.1456,147.6194,97.6,0,0
PH261016P00820000,PH,2026-10-16,23,P,820.0,-15.02,964.96,0.0,1.75,0.9,0.9,,0.3226,-0.0238,0.0007,-0.0837,0.1467,0.5462,2.3,12,17
PH261016C00830000,PH,2026-10-16,23,C,830.0,-13.99,964.96,128.0,135.2,131.6,0.0,5.5,0.3248,0.9694,0.0009,-0.08,0.1778,137.9,96.7,0,0
PH261016P00830000,PH,2026-10-16,23,P,830.0,-13.99,964.96,0.05,1.75,0.9,3.72,188.9,0.3032,-0.0304,0.0009,-0.1006,0.1781,0.5581,2.4,0,5
PH261016C00840000,PH,2026-10-16,23,C,840.0,-12.95,964.96,118.2,125.5,121.85,0.0,6.0,0.3122,0.9609,0.0011,-0.1019,0.2173,128.0755,96.1,0,0
PH261016P00840000,PH,2026-10-16,23,P,840.0,-12.95,964.96,0.05,2.75,1.4,0.82,192.9,0.3066,-0.0389,0.0011,-0.1211,0.2184,0.9044,3.6,16,2
PH261016C00850000,PH,2026-10-16,23,C,850.0,-11.91,964.96,109.0,116.0,112.5,0.0,6.2,0.3117,0.9498,0.0014,-0.128,0.2654,118.5476,94.7,0,0
PH261016P00850000,PH,2026-10-16,23,P,850.0,-11.91,964.96,0.9,1.7,1.3,1.47,61.5,0.2802,-0.05,0.0014,-0.1458,0.2674,0.8218,3.6,44,32
PH261016C00860000,PH,2026-10-16,23,C,860.0,-10.88,964.96,99.2,106.5,102.85,0.0,7.1,0.2976,0.9356,0.0018,-0.1587,0.3222,108.7986,93.8,0,0
PH261016P00860000,PH,2026-10-16,23,P,860.0,-10.88,964.96,0.05,3.5,1.775,3.22,194.4,0.2758,-0.0644,0.0018,-0.1754,0.323,1.1523,4.8,0,25
PH261016C00870000,PH,2026-10-16,23,C,870.0,-9.84,964.96,90.0,97.2,93.6,0.0,7.7,0.2919,0.9173,0.0022,-0.1942,0.3891,99.3583,92.1,0,0
PH261016P00870000,PH,2026-10-16,23,P,870.0,-9.84,964.96,0.4,4.3,2.35,4.47,166.0,0.27,-0.0829,0.0022,-0.2098,0.3909,1.5618,6.3,0,20
PH261016C00880000,PH,2026-10-16,23,C,880.0,-8.8,964.96,81.0,88.6,84.8,0.0,9.0,0.2916,0.8943,0.0026,-0.2345,0.4653,90.2834,89.6,0,0
PH261016P00880000,PH,2026-10-16,23,P,880.0,-8.8,964.96,0.6,5.8,3.2,5.7,162.5,0.2666,-0.106,0.0027,-0.2489,0.4685,2.1848,8.4,1,20
PH261016C00890000,PH,2026-10-16,23,C,890.0,-7.77,964.96,72.0,79.8,75.9,0.0,10.3,0.2842,0.866,0.0032,-0.2785,0.5487,81.1464,87.1,0,0
PH261016P00890000,PH,2026-10-16,23,P,890.0,-7.77,964.96,0.8,8.9,4.85,4.29,167.0,0.2735,-0.1347,0.0032,-0.292,0.5529,3.4585,11.9,3,54
PH261016C00900000,PH,2026-10-16,23,C,900.0,-6.73,964.96,64.0,71.3,67.65,51.75,10.8,0.2829,0.8318,0.0037,-0.3248,0.6363,72.5558,83.7,0,3
PH261016P00900000,PH,2026-10-16,23,P,900.0,-6.73,964.96,4.3,10.8,7.55,6.06,86.1,0.2885,-0.1693,0.0038,-0.3373,0.6383,5.6444,16.8,2,74
PH261016C00910000,PH,2026-10-16,23,C,910.0,-5.7,964.96,55.4,63.3,59.35,0.0,13.3,0.2756,0.7915,0.0043,-0.371,0.7244,63.943,80.2,0,0
PH261016P00910000,PH,2026-10-16,23,P,910.0,-5.7,964.96,4.0,10.0,7.0,7.54,85.7,0.2364,-0.2099,0.0043,-0.3828,0.7264,4.362,15.8,1,6
PH261016C00920000,PH,2026-10-16,23,C,920.0,-4.66,964.96,48.0,55.7,51.85,53.62,14.9,0.2739,0.7455,0.0048,-0.4146,0.8081,56.0477,75.7,2,1
PH261016P00920000,PH,2026-10-16,23,P,920.0,-4.66,964.96,8.2,11.4,9.8,9.68,32.7,0.2547,-0.2566,0.0049,-0.4256,0.8109,7.4144,22.6,11,44
PH261016C00930000,PH,2026-10-16,23,C,930.0,-3.62,964.96,41.3,48.4,44.85,29.98,15.8,0.2723,0.694,0.0053,-0.4527,0.882,48.6244,70.6,0,36
